codigo_material_recibido,cantidad_actual
HANKILRK014-2506060036,1
HANKILRK014-2506060045,1
HANKILRK014-2506060044,1
HANKILRK014-2506060043,1
HANKILRK014-2506060042,1
HANKILRK014-2506060041,1
HANKILRK014-2506060046,1
HANKILRK014-2506060047,1
HANKILRK014-2506060048,1
HANKILRK014-2506060049,1
HANKILRK014-2506060050,1
HANKILRK014-2506060100,1
HANKILRK014-2506060099,1
HANKILRK014-2506060098,1
HANKILRK014-2506060097,1
HANKILRK014-2506060096,1
HANKILRK014-2506060091,1
HANKILRK014-2506060092,1
HANKILRK014-2506060093,1
HANKILRK014-2506060094,1
HANKILRK014-2506060095,1
HANKILRK014-2506060086,1
HANKILRK014-2506060087,1
HANKILRK014-2506060088,1
HANKILRK014-2506060089,1
HANKILRK014-2506060090,1
HANKILRK014-2506060081,1
HANKILRK014-2506060082,1
HANKILRK014-2506060083,1
HANKILRK014-2506060084,1
HANKILRK014-2506060085,1
HANKILRK014-2506060076,1
HANKILRK014-2506060077,1
HANKILRK014-2506060078,1
HANKILRK014-2506060079,1
HANKILRK014-2506060080,1
HANKILRK014-2506060072,1
HANKILRK014-2506060067,1
HANKILRK014-2506060062,1
HANKILRK014-2506060056,1
HANKILRK014-2506060051,1
HANKILRK014-2506060068,1
HANKILRK014-2506060063,1
HANKILRK014-2506060057,1
HANKILRK014-2506060073,1
HANKILRK014-2506060064,1
HANKILRK014-2506060058,1
HANKILRK014-2506060052,1
HANKILRK014-2506060069,1
HANKILRK014-2506060059,1
HANKILRK014-2506060053,1
HANKILRK014-2506060074,1
HANKILRK014-2506060070,1
HANKILRK014-2506060065,1
HANKILRK014-2506060060,1
HANKILRK014-2506060054,1
HANKILRK014-2506060075,1
HANKILRK014-2506060071,1
HANKILRK014-2506060066,1
HANKILRK014-2506060061,1
HANKILRK014-2506060055,1
SAAR-2512220010,1
SAAR-2512220009,1
SAAR-2512220008,1
SAAR-2512220007,1
SAAR-2512220006,1
SAAR-2512220005,1
SAAR-2512220004,1
SAAR-2512220003,1
SAAR-2512220002,1
MCR65024628-2406210001,158
MCR65024628-2406210002,42
MCR65024628-2405200001,14
MCR65024631-2512090002,300
MCR65024631-2512060002,500
MCR65024631-2512060001,500
MCR65024631-2511190002,500
MCR65024636-2506100004,500
MCR65024636-2506100003,500
MCR65024641-2312020001,299
MCR65024642-2508250001,174
MCR65024642-2507310002,500
MCR65024642-2507140002,368
MCR65024643-2601050003,500
MCR65024643-2601050002,500
MCR65024643-2601050001,500
MCR65024643-2512180010,77
MCR65024643-2512180008,500
MCR65024643-2512180006,500
MCR65024643-2512180007,500
MCR65024643-2512180005,500
MCR65024643-2512180004,500
MCR65024645-2512180004,24
MCR65024645-2512180001,500
MCR65024645-2512170001,500
MCR65024648-2601050001,500
MCR65024648-2511210001,14
MCR65024648-2511200001,500
MCR65024648-2511190001,77
XILI817000H-2511250100,1000
XILI817000H-2511250099,1000
XILI817000H-2511250098,1000
XILI817000H-2511250097,1000
XILI817000H-2511250096,1000
XILI817000H-2511250095,1000
XILI817000H-2511250094,1000
XILI817000H-2511250093,1000
XILI817000H-2511250092,1000
XILI817000H-2511250091,1000
XILI817000H-2511250090,1000
XILI817000H-2511250089,1000
XILI817000H-2511250088,1000
XILI817000H-2511250087,1000
XILI817000H-2511250086,1000
